  step,            time,            ax,            ay,            az,            bx,            by,            bz,            cx,            cy,            cz,             a,             b,             c
           65,  0.324990E+02,  0.207676E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.207676E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.207676E+02,  0.207676E+02,  0.207676E+02,  0.207676E+02
           66,  0.329990E+02,  0.210111E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210111E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210111E+02,  0.210111E+02,  0.210111E+02,  0.210111E+02
           67,  0.334990E+02,  0.208934E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.208934E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.208934E+02,  0.208934E+02,  0.208934E+02,  0.208934E+02
           68,  0.339990E+02,  0.208816E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.208816E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.208816E+02,  0.208816E+02,  0.208816E+02,  0.208816E+02
           69,  0.344990E+02,  0.208096E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.208096E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.208096E+02,  0.208096E+02,  0.208096E+02,  0.208096E+02
           70,  0.349990E+02,  0.207376E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.207376E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.207376E+02,  0.207376E+02,  0.207376E+02,  0.207376E+02
           71,  0.354990E+02,  0.208754E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.208754E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.208754E+02,  0.208754E+02,  0.208754E+02,  0.208754E+02
           72,  0.359990E+02,  0.207364E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.207364E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.207364E+02,  0.207364E+02,  0.207364E+02,  0.207364E+02
           73,  0.364990E+02,  0.207368E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.207368E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.207368E+02,  0.207368E+02,  0.207368E+02,  0.207368E+02
           74,  0.369990E+02,  0.208884E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.208884E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.208884E+02,  0.208884E+02,  0.208884E+02,  0.208884E+02
           75,  0.374990E+02,  0.209961E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.209961E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.209961E+02,  0.209961E+02,  0.209961E+02,  0.209961E+02
           76,  0.379990E+02,  0.208183E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.208183E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.208183E+02,  0.208183E+02,  0.208183E+02,  0.208183E+02
           77,  0.384990E+02,  0.208830E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.208830E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.208830E+02,  0.208830E+02,  0.208830E+02,  0.208830E+02
           78,  0.389990E+02,  0.207780E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.207780E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.207780E+02,  0.207780E+02,  0.207780E+02,  0.207780E+02
           79,  0.394990E+02,  0.207381E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.207381E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.207381E+02,  0.207381E+02,  0.207381E+02,  0.207381E+02
           80,  0.399990E+02,  0.207621E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.207621E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.207621E+02,  0.207621E+02,  0.207621E+02,  0.207621E+02
           81,  0.404990E+02,  0.207304E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.207304E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.207304E+02,  0.207304E+02,  0.207304E+02,  0.207304E+02
           82,  0.409990E+02,  0.208128E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.208128E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.208128E+02,  0.208128E+02,  0.208128E+02,  0.208128E+02
           83,  0.414990E+02,  0.209723E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.209723E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.209723E+02,  0.209723E+02,  0.209723E+02,  0.209723E+02
           84,  0.419990E+02,  0.208761E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.208761E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.208761E+02,  0.208761E+02,  0.208761E+02,  0.208761E+02
           85,  0.424990E+02,  0.207419E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.207419E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.207419E+02,  0.207419E+02,  0.207419E+02,  0.207419E+02
           86,  0.429990E+02,  0.207745E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.207745E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.207745E+02,  0.207745E+02,  0.207745E+02,  0.207745E+02
           87,  0.434990E+02,  0.207857E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.207857E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.207857E+02,  0.207857E+02,  0.207857E+02,  0.207857E+02
           88,  0.439990E+02,  0.209451E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.209451E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.209451E+02,  0.209451E+02,  0.209451E+02,  0.209451E+02
           89,  0.444990E+02,  0.209065E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.209065E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.209065E+02,  0.209065E+02,  0.209065E+02,  0.209065E+02
           90,  0.449990E+02,  0.209115E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.209115E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.209115E+02,  0.209115E+02,  0.209115E+02,  0.209115E+02
           91,  0.454990E+02,  0.208933E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.208933E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.208933E+02,  0.208933E+02,  0.208933E+02,  0.208933E+02
           92,  0.459990E+02,  0.208419E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.208419E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.208419E+02,  0.208419E+02,  0.208419E+02,  0.208419E+02
           93,  0.464990E+02,  0.209616E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.209616E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.209616E+02,  0.209616E+02,  0.209616E+02,  0.209616E+02
           94,  0.469990E+02,  0.209924E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.209924E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.209924E+02,  0.209924E+02,  0.209924E+02,  0.209924E+02
           95,  0.474990E+02,  0.208755E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.208755E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.208755E+02,  0.208755E+02,  0.208755E+02,  0.208755E+02
           96,  0.479990E+02,  0.209306E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.209306E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.209306E+02,  0.209306E+02,  0.209306E+02,  0.209306E+02
           97,  0.484990E+02,  0.209093E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.209093E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.209093E+02,  0.209093E+02,  0.209093E+02,  0.209093E+02
           98,  0.489990E+02,  0.208735E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.208735E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.208735E+02,  0.208735E+02,  0.208735E+02,  0.208735E+02
           99,  0.494990E+02,  0.209028E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.209028E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.209028E+02,  0.209028E+02,  0.209028E+02,  0.209028E+02
          100,  0.499990E+02,  0.209059E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.209059E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.209059E+02,  0.209059E+02,  0.209059E+02,  0.209059E+02
          101,  0.504990E+02,  0.208937E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.208937E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.208937E+02,  0.208937E+02,  0.208937E+02,  0.208937E+02
          102,  0.509990E+02,  0.209198E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.209198E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.209198E+02,  0.209198E+02,  0.209198E+02,  0.209198E+02
          103,  0.514990E+02,  0.209452E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.209452E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.209452E+02,  0.209452E+02,  0.209452E+02,  0.209452E+02
          104,  0.519990E+02,  0.208561E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.208561E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.208561E+02,  0.208561E+02,  0.208561E+02,  0.208561E+02
          105,  0.524990E+02,  0.207560E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.207560E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.207560E+02,  0.207560E+02,  0.207560E+02,  0.207560E+02
          106,  0.529990E+02,  0.207690E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.207690E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.207690E+02,  0.207690E+02,  0.207690E+02,  0.207690E+02
          107,  0.534990E+02,  0.208582E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.208582E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.208582E+02,  0.208582E+02,  0.208582E+02,  0.208582E+02
          108,  0.539990E+02,  0.209108E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.209108E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.209108E+02,  0.209108E+02,  0.209108E+02,  0.209108E+02
          109,  0.544990E+02,  0.209145E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.209145E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.209145E+02,  0.209145E+02,  0.209145E+02,  0.209145E+02
          110,  0.549990E+02,  0.208527E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.208527E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.208527E+02,  0.208527E+02,  0.208527E+02,  0.208527E+02
          111,  0.554990E+02,  0.208070E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.208070E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.208070E+02,  0.208070E+02,  0.208070E+02,  0.208070E+02
